time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-12-14 07:31:15.933 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,631981801472,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1702539075785,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,13,29,53201824, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-14 07:32:15.941 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, ,4335, , , , , , , , , ,18,18, , , ,1,2,21, ,3475, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,631462100992,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762,1,2,0,6, , , ,142,142,2,142, ,3,143, , , , , , , , , , ,4096,2,177365,151, , , , , , ,3,14,98716464,1, , , , , , ,4161, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,30, ,340, ,212,3094,712,7, , , , , , , , , 
2023-12-14 07:33:15.946 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, , , , , , , , , , , ,18,18, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,630764077056,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,107105072,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-14 07:34:15.951 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, ,1482, , , , , , , , , ,18,18, , , ,1,2,21, ,1639, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,630270132224,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , ,8,30,124329088,1, , , , , , ,1649, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,182,1457,11, , , , , , , , , , 
2023-12-14 07:35:15.957 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, ,13, , , , , , , , , ,18,18, , , ,1,2,21, ,11, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,630927654912,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , ,2,16,61392416,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,2, , , , , , , , , , 
2023-12-14 07:36:15.963 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, , , , , , , , , , , ,18,18, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,632402149376,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,65586720,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-14 07:37:15.969 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, , , , , , , , , , , ,18,18, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,632366694400,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,71878176,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-14 07:38:15.974 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, , , , , , , , , , , ,18,18, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,631836377088,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,78169632,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-14 07:39:15.978 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, , , , , , , , , , , ,18,18, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,631430971392,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,84461088, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-12-14 07:40:15.984 UTC, , , , , , , , , ,589,3376389,228504,1568, ,18, , , , , , , , , , , ,18,18, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,178792,631233970176,79,79,79,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,178792,1702539075785,,, , , , , , , , , ,3145728,178762, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,92849696, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
